Изображение;Название;Цена;Описание;Артикул;"Ссылка на товар"
https://versal.ua/images/uploads//d90b0199a8bd55f8f24bba831b864367.jpg;"Спортивный костюм женский св-серый";526;"Спортивный костюм женский св-серый
Ткань: двухнитка
Размеры: 42, 44, 46,      48-50, 52-54, 56-58+70грн";"Код: 02036";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-zhenskiy-sv-seryy-1537270079.html
https://versal.ua/images/uploads//802d3ff9c0e88adffd604e6228e2065e.jpg;"Костюм спортивный женский с люрексом т-серый";615;"Костюм спортивный женский с люрексом т-серый
Ткань: двухнитка, трикотаж люрекс
Размеры: 42";"Код: 02022";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-sportivnyy-zhenskiy-s-lyureksom-t-seryy-1537268922.html
https://versal.ua/images/uploads//eb0ed922d87d0c68130ae959e982c6b0.jpg;"Костюм спортивный женский с люрексом бордо";615;"Костюм спортивный женский с люрексом бордо
Ткань: двухнитка, трикотаж люрекс
Размеры: 42";"Код: 02022";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-sportivnyy-zhenskiy-s-lyureksom-bordo-1537268693.html
https://versal.ua/images/uploads//d0ad5686bc76ce36eb51fa91af357b60.jpg;"Костюм спортивный женский с люрексом джинс";615;"Костюм спортивный женский с люрексом джинс
Ткань: двухнитка, трикотаж люрекс
Размеры: 42";"Код: 02022";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-sportivnyy-zhenskiy-s-lyureksom-dzhins-1537268562.html
https://versal.ua/images/uploads//3630a96321d855b2af0fad6b140c618f.jpg;"Костюм спортивный с лампасами женский черный";615;"Костюм спортивный с лампасами женский черный
Ткань: двухнитка
Размеры: 42, 44, 46,      48-50, 52-54, 56-58+70грн";"Код: 02023";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-sportivnyy-s-lampasami-zhenskiy-chernyy-1537267818.html
https://versal.ua/images/uploads//5b9a2105f055ead086307fe2bb36af33.jpg;"Костюм спортивный с лампасами женский  св-серый";615;"Костюм спортивный с лампасами женский  св-серый
Ткань: двухнитка
Размеры: 42, 44, 46,      48-50, 52-54, 56-58+70грн";"Код: 02023";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-sportivnyy-s-lampasami-zhenskiy-sv-seryy.html
https://versal.ua/images/uploads//393ceaa5418abe46fd9dbaa0de87374e.jpg;"Спортивный костюм с удлиненной кофтой красный";610;"Спортивный костюм с удлиненной кофтой красный
Ткань: двухнитка
Размеры: 42, 44, 46,      48-50, 52-54, 56-58+50грн";"Код: 02009";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-udlinennoy-koftoy-krasnyy-1537191266.html
https://versal.ua/images/uploads//78c93a2d53d4e7b708d374c3229e4872.jpg;"Спортивный костюм с удлиненной кофтой бордо";610;"Спортивный костюм с удлиненной кофтой бордо
Ткань: двухнитка
Размеры: 42, 44, 46,      48-50, 52-54, 56-58+50грн";"Код: 02009";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-udlinennoy-koftoy-bordo-1537188661.html
https://versal.ua/images/uploads//db20d3f38e6626537170633667e340b8.jpg;"Спортивный костюм с удлиненной кофтой черный";610;"Спортивный костюм с удлиненной кофтой черный
Ткань: двухнитка
Размеры: 42, 44, 46,      48-50, 52-54, 56-58+50грн";"Код: 02009";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-udlinennoy-koftoy-chernyy-1537188440.html
https://versal.ua/images/uploads//760203757c3261d46f49dfc9d338a9da.jpg;"Спортивный костюм с удлиненной кофтой т-синий";610;"Спортивный костюм с удлиненной кофтой т-синий
Ткань: двухнитка
Размеры: 42, 44, 46,      48-50, 52-54, 56-58+50грн";"Код: 02009";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-udlinennoy-koftoy-t-siniy-1537188281.html
https://versal.ua/images/uploads//a6de71653768349a27e7dfd2f55bbe9a.jpg;"Спортивный костюм с нашивками св-серый";630;"Спортивный костюм с нашивками св-серый
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+70грн";"Код: 01999";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-nashivkami-sv-seryy-1534942381.html
https://versal.ua/images/uploads//74f0d2a7239e3620b259e24ab28bde1f.jpg;"Спортивный костюм с нашивками красный";630;"Спортивный костюм с нашивками красный
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+70грн";"Код: 01999";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-nashivkami-krasnyy-1534942267.html
https://versal.ua/images/uploads//147585f888a394d8e78a690cad977c36.jpg;"Спортивный костюм с нашивками персик";630;"Спортивный костюм с нашивками персик
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+70грн";"Код: 01999";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-nashivkami-persik-1534942132.html
https://versal.ua/images/uploads//42c61aaae0352feb6fd0fe93e448e8fd.jpg;"Спортивный костюм с лампасами джинс";620;"Спортивный костюм с лампасами джинс
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+80грн";"Код: 02004";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-lampasami-dzhins-1534941014.html
https://versal.ua/images/uploads//70101e69e416affeb56467b1cc73cb41.jpg;"Спортивный костюм с лампасами красный";620;"Спортивный костюм с лампасами красный
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+80грн";"Код: 02004";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-lampasami-krasnyy-1534940932.html
https://versal.ua/images/uploads//085e5a0506882403483a1addb5c8380a.jpg;"Спортивный костюм с лампасами черный";620;"Спортивный костюм с лампасами черный
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+80грн";"Код: 02004";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-lampasami-chernyy.html
https://versal.ua/images/uploads//0d594f08c42885c0fda75b59807bac5f.jpg;"Костюм женский джоггеры+футболка меланж";460;"Костюм женский джоггеры+футболка меланж
Ткань: кулир, двухнитка
Размер: 42, 44, 46,     48-50, 52-54, 56-58+50грн";"Код: 01916";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-shtanyfutbolka-melanzh-1525443111.html
https://versal.ua/images/uploads//66a10c446d75ea0b2e56bf4256996fa8.jpg;"Женский спортивный костюм с лампасами черный";615;"Женский спортивный костюм с лампасами черный, с укороченными джоггерами 
Ткань: двухнитка
Размеры: 42, 44, 46,         48-50, 52-54, 56-58+50грн";"Код: 01880";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-sportivnyy-kostyum-s-lampasami-chernyy-1525349519.html
https://versal.ua/images/uploads//49a704909af143a62bc653e08572bb6f.jpg;"Женский спортивный костюм с лампасами св-серый";615;"Женский спортивный костюм с лампасами св-серый, с укороченными джоггерами 
Ткань: двухнитка
Размеры: 42, 44, 46,         48-50, 52-54, 56-58+50грн";"Код: 01880";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-sportivnyy-kostyum-s-lampasami-sv-seryy.html
https://versal.ua/images/uploads//25f180350de6b79a6eaab8c23d17559a.jpg;"Спортивный костюм женский с брюками джинс";615;"Спортивный костюм женский с брюками джинс
Ткань: двухнитка
Размеры: 42, 44, 46,     48-50, 52-54, 56-58 + 50грн";"Код: 01879";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-zhenskiy-s-bryukami-dzhins-1525336375.html
https://versal.ua/images/uploads//5134dd56b7a4f5e71353160febaa3389.jpg;"Спортивный костюм женский с брюками св-серый";615;"Спортивный костюм женский с брюками св-серый
Ткань: двухнитка
Размеры: 42, 44, 46,     48-50, 52-54, 56-58 + 50грн";"Код: 01879";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-zhenskiy-s-bryukami-sv-seryy-1525336166.html
